c,i,id,l1_c,l1_i,language,type
go,join,person_1055,去,加入,Chinese,RV
calm,claim,person_1055,平息,声称,Chinese,RV
do,have,person_34,做,有,Chinese,RV
go,try,person_34,去,尝试,Chinese,RV
take,get,person_34,采取,得到,Chinese,RV
take,get,person_34,采取,得到,Chinese,RV
going,doing,person_34,会,做,Chinese,RV
ever,even,person_34,以往 任何 时候 都,甚至,Chinese,RY
never,only,person_34,从来 没有,只有,Chinese,RY
look,face,person_34,看起来,面对,Chinese,RV
tents,tens,person_27,帐篷,几十,Chinese,RN
tents,tens,person_27,帐篷,几十,Chinese,RN
Sometimes,Sometime,person_27,有时,有时,Chinese,RY
bored,boring,person_27,无聊,无聊,Chinese,RJ
did,was,person_27,做,是,Chinese,RV
pleased,glad,person_761,高兴,高兴,Chinese,RJ
carry,take,person_761,携带,采取,Chinese,RV
Introduction,Instruction,person_761,介绍,指令,Chinese,RN
do,make,person_761,做,使,Chinese,RV
film,make,person_761,电影,使,Chinese,RV
made,done,person_209,作出,做,Chinese,RV
excellent,good,person_209,优秀,好,Chinese,RJ
later,after,person_209,后来,后,Chinese,RY
ask,say,person_209,问,说,Chinese,RV
learn,know,person_209,学习,知道,Chinese,RV
learn,know,person_209,学习,知道,Chinese,RV
incorporate,have,person_209,纳入,有,Chinese,RV
play,take,person_209,玩,采取,Chinese,RV
need,necessity,person_209,必要,必要性,Chinese,RN
will,could,person_209,将,可以,Chinese,RV
improve,approve,person_209,提高,批准,Chinese,RV
should,shall,person_557,应该,须,Chinese,RV
held,showed,person_557,举行,表明,Chinese,RV
can,may,person_557,可以,可能,Chinese,RV
cause,give,person_557,引起,给,Chinese,RV
acquired,understood,person_557,后天,理解,Chinese,RV
crowded,crowed,person_557,挤,打鸣,Chinese,RV
went,want,person_557,去,想要,Chinese,RV
didn't,haven't,person_557,没,没,Chinese,RV
really,extremely,person_557,真,极其,Chinese,RY
river,river-side,person_557,河,滨江,Chinese,RN
devised,set,person_683,设计,设置,Chinese,RV
interested,interesting,person_683,感兴趣,有趣,Chinese,RJ
would,may,person_683,会,可能,Chinese,RV
reschedule,change,person_683,改期,改变,Chinese,RV
Sincerely,Faithfully,person_683,真诚,忠实,Chinese,RY
deserves,has,person_539,值得,有,Chinese,RV
Therefore,There,person_539,因此,那里,Chinese,RY
would,should,person_539,会,应该,Chinese,RV
chance,change,person_516,机会,变化,Chinese,RN
interact,interest,person_516,交互,兴趣,Chinese,RV
chance,change,person_516,机会,变化,Chinese,RN
electric,electrical,person_516,电动,电气,Chinese,RJ
tool,item,person_516,工具,项目,Chinese,RN
affected,effected,person_516,影响,影响,Chinese,RV
controls,controllers,person_516,控件,控制器,Chinese,RN
happen,change,person_516,发生,改变,Chinese,RV
number,amount,person_516,数量,金额,Chinese,RN
either,too,person_516,要么,太,Chinese,RY
cuisine,kitchen,person_516,美食,厨房,Chinese,RN
especially,specially,person_2102,特别是,专门,Chinese,RY
lives,things,person_2102,生活,事情,Chinese,RN
do,have,person_2102,做,有,Chinese,RV
excellent,good,person_1621,优秀,好,Chinese,RJ
held,help,person_1621,举行,帮助,Chinese,RV
runs,starts,person_1621,运行,开始,Chinese,RV
cause,make,person_1621,引起,使,Chinese,RV
cause,make,person_1621,引起,使,Chinese,RV
providing,giving,person_1621,提供,给,Chinese,RV
aim,view,person_1621,目的,视图,Chinese,RN
way,solution,person_1621,方式,解决 方案,Chinese,RN
had,got,person_1621,有,得到,Chinese,RV
stock,sock,person_1621,股票,袜子,Chinese,RN
went,stayed,person_1621,去,呆,Chinese,RV
meant,will,person_1621,意味 着,将,Chinese,RV
feelings,mood,person_1621,感情,心情,Chinese,RN
admission,entrance,person_217,入场,入口,Chinese,RN
sincerely,faithfully,person_217,真诚,忠实,Chinese,RY
lying,leaning,person_217,躺,倚,Chinese,RV
group,ground,person_217,组,地面,Chinese,RN
saw,say,person_217,看到,说,Chinese,RV
rescued,delivered,person_217,获救,交付,Chinese,RV
joy,join,person_217,喜悦,联接,Chinese,RN
follow,join,person_951,遵循,加入,Chinese,RV
robotic,electrical,person_951,机器人,电气,Chinese,RJ
will,should,person_951,将,应该,Chinese,RV
prevent,make,person_951,防止,使,Chinese,RV
things,ways,person_951,事情,方式,Chinese,RN
go,do,person_1037,去,做,Chinese,RV
sincerely,faithful,person_1037,真诚,忠实,Chinese,RY
dubious,unsure,person_1037,可疑,拿不准,Chinese,RJ
help,deal,person_1037,帮助,打交道,Chinese,RV
airways,breathe,person_1037,航空公司,呼吸,Chinese,RN
warn,tell,person_1037,警告,告诉,Chinese,RV
catch,take,person_2960,赶上,采取,Chinese,RV
Afterwards,After,person_2960,事后,后,Chinese,RY
go,have,person_2960,去,有,Chinese,RV
attracts,bring,person_2960,吸引,带来,Chinese,RV
requested,required,person_3116,请求,所 需,Chinese,RV
playing,play,person_3116,玩,游戏,Chinese,RN
disco,disc,person_3116,迪斯科,椎间盘,Chinese,RN
off,up,person_3116,了,起来,Chinese,RY
historic,historical,person_3116,历史性,历史,Chinese,RJ
gave,was,person_3116,给,是,Chinese,RV
not,no,person_3116,不是,没有,Chinese,RY
especially,specially,person_3116,特别是,专门,Chinese,RY
playing,performing,person_2798,玩,表演,Chinese,RV
flight,airline,person_2798,飞行,航空公司,Chinese,RN
rare,special,person_2798,罕见,特殊,Chinese,RJ
has,gets,person_2798,有,获取,Chinese,RV
e-mail,mail,person_2798,电子邮件,寄,Chinese,RV
costume,clothes,person_3096,服装,衣服,Chinese,RN
inform,notice,person_3096,可否 告知,注意,Chinese,RV
take,make,person_3096,采取,使,Chinese,RV
prize,gift,person_3096,奖,礼物,Chinese,RN
suite,suit,person_3096,套房,西装,Chinese,RN
questions,doubts,person_3241,问题,疑虑,Chinese,RN
help,make,person_3241,帮助,使,Chinese,RV
let,make,person_3241,让,使,Chinese,RV
ways,points,person_3241,方式,点,Chinese,RN
specially,especially,person_3241,专门,特别是,Chinese,RY
learn,know,person_3241,学习,知道,Chinese,RV
well,nicely,person_3241,好,好听,Chinese,RY
leaves,starts,person_3278,叶,开始,Chinese,RV
are,gathers,person_3278,是,聚集,Chinese,RV
home,family,person_3278,回家,家庭,Chinese,RN
item,equipment,person_3278,项目,设备,Chinese,RN
listening,hearing,person_3278,听力,听到,Chinese,RV
longer,more,person_3278,长,更,Chinese,RY
pleased,grateful,person_2992,高兴,感激,Chinese,RJ
acquire,get,person_2992,获得,得到,Chinese,RV
attend,attempt,person_3252,出席,尝试,Chinese,RV
attendance,attempt,person_3252,考勤,尝试,Chinese,RN
college,collage,person_3252,大学,拼 贴,Chinese,RN
college,collage,person_3252,大学,拼 贴,Chinese,RN
activities,event,person_3252,活动,事件,Chinese,RN
clothes,cloths,person_3252,衣服,布,Chinese,RN
hope,hop,person_3252,,,Chinese,RV
want,went,person_3252,,,Chinese,RV
attend,join,person_3233,,,Chinese,RV
strengthen,deepen,person_3233,,,Chinese,RV
history,past,person_3233,,,Chinese,RN
even,still,person_575,mesmo,ainda,Portuguese,RY
provide,have,person_575,fornecer,ter,Portuguese,RV
teach,know,person_575,ensinar,sei,Portuguese,RV
addition,addictions,person_575,adição,vícios,Portuguese,RN
believe,hope,person_575,acreditar,espero,Portuguese,RV
news,notices,person_575,notícias,avisos,Portuguese,RN
change,changing,person_2695,mudança,mudando,Portuguese,RN
could,would,person_2695,poderia,iria,Portuguese,RV
repairs,work,person_2695,reparos,trabalho,Portuguese,RN
leisure,distractions,person_2695,lazer,distrações,Portuguese,RN
suffer,have,person_2695,sofrer,ter,Portuguese,RV
understanding,comprehensible,person_2695,compreensão,compreensível,Portuguese,RJ
waste,polluted,person_2695,resíduos,poluído,Portuguese,RJ
promised,said,person_1203,prometeu,disse,Portuguese,RV
promises,tell,person_2496,promete,dizer,Portuguese,RV
has,do,person_2496,tem,fazer,Portuguese,RV
disgrace,shame,person_2496,desgraça,vergonha,Portuguese,RN
got,happened,person_2496,tem,aconteceu,Portuguese,RV
away,distant,person_2496,afastado,distante,Portuguese,RY
become,turned,person_2496,tornar,transformou,Portuguese,RV
liked,enjoyed,person_2537,gostava,apreciado,Portuguese,RV
promised,suggested,person_2537,prometeu,sugeriu,Portuguese,RV
was,got,person_2537,foi,tem,Portuguese,RV
think,brainstorm,person_2537,pensar,debater,Portuguese,RV
appeared,was,person_1201,apareceu,foi,Portuguese,RV
published,written,person_1201,publicado,escrito,Portuguese,RV
do,make,person_1201,fazer,fazer,Portuguese,RV
advancing,increasing,person_1201,avançando,aumentar,Portuguese,RV
Recently,Lately,person_1110,recentemente,ultimamente,Portuguese,RY
irritated,nervous,person_1110,irritado,nervoso,Portuguese,RJ
cook,cooker,person_1110,cozinheiro,fogão,Portuguese,RN
was,become,person_525,foi,tornar,Portuguese,RV
advertised,announced,person_525,anunciado,anunciou,Portuguese,RV
having,taking,person_525,tendo,tomando,Portuguese,RV
So,Thus,person_525,então,assim,Portuguese,RY
saw,noted,person_525,vi,observou,Portuguese,RV
tell,say,person_525,dizer,dizer,Portuguese,RV
came,became,person_525,veio,me tornei,Portuguese,RV
Also,Besides,person_525,também,além,Portuguese,RY
First,Firstly,person_525,primeiramente,em primeiro lugar,Portuguese,RY
came,become,person_525,veio,tornar,Portuguese,RV
games,plays,person_525,jogos,execuções,Portuguese,RN
haven't,didn't,person_525,não,não,Portuguese,RV
go,stay,person_525,ir,ficar,Portuguese,RV
exchange,change,person_525,trocar,mudar,Portuguese,RV
got,had,person_651,tem,tinha,Portuguese,RV
stated,mentioned,person_651,afirmou,mencionado,Portuguese,RV
get,have,person_651,obter,ter,Portuguese,RV
could,would,person_651,poderia,iria,Portuguese,RV
could,would,person_651,poderia,iria,Portuguese,RV
complaint,complaining,person_137,queixa,reclamando,Portuguese,RN
get,have,person_137,obter,ter,Portuguese,RV
well,exactly,person_137,poço,exatamente,Portuguese,RY
advancing,growing,person_137,avançando,crescente,Portuguese,RV
yesterday,last,person_2194,ontem,última,Portuguese,RJ
stressful,stressed,person_2194,estressante,estressado,Portuguese,RJ
setting,letting,person_2194,definir,deixar,Portuguese,RV
intelligence,attention,person_2194,inteligência,atenção,Portuguese,RN
ways,manners,person_2194,maneiras,maneiras,Portuguese,RN
stated,marked,person_1648,afirmou,marcado,Portuguese,RV
getting,having,person_335,ficando,tendo,Portuguese,RV
promises,says,person_335,promete,diz,Portuguese,RV
notice,advise,person_335,observe,aconselhar,Portuguese,RN
mass,massive,person_335,maciça,maciça,Portuguese,RJ
ordinary,common,person_335,ordinário,comum,Portuguese,RJ
allowed,provided,person_335,permitido,fornecido,Portuguese,RV
broadened,made,person_335,ampliou,feito,Portuguese,RV
deal,amount,person_335,acordo,quantidade,Portuguese,RN
PERFORMED,PRESENTED,person_654,executada,apresentado,Portuguese,RV
INACCURATE,WRONG,person_654,impreciso,errado,Portuguese,RJ
INCLUDE,HAVE,person_654,incluem,ter,Portuguese,RV
DISTANCES,MAKES,person_654,distancia,faz,Portuguese,RV
might,can,person_246,pode,pode,Portuguese,RV
shop,buy,person_246,comprar,comprar,Portuguese,RV
create,bring,person_246,criar,trazer,Portuguese,RV
was,stayed,person_1938,foi,ficado,Portuguese,RV
thought,knew,person_1938,pensei,sabia,Portuguese,RV
advertisement,propaganda,person_1938,anúncio,propaganda,Portuguese,RN
was,had,person_1938,foi,tinha,Portuguese,RV
get,have,person_1938,obter,ter,Portuguese,RV
complain,complement,person_1938,reclamar,complementar,Portuguese,RV
get,have,person_1938,obter,ter,Portuguese,RV
doing,getting,person_1938,fazendo,ficando,Portuguese,RV
take,get,person_1938,levar,obter,Portuguese,RV
have,know,person_465,ter,sei,Portuguese,RV
almost,quite,person_465,quase,bastante,Portuguese,RY
had,earned,person_465,tinha,ganhou,Portuguese,RV
son,sun,person_465,filho,sol,Portuguese,RN
son,sun,person_465,filho,sol,Portuguese,RN
can,get,person_465,pode,obter,Portuguese,RV
fashions,clothes,person_465,modas,roupas,Portuguese,RN
lie,fraud,person_513,mentira,fraude,Portuguese,RN
has,could,person_513,tem,poderia,Portuguese,RV
excited,exciting,person_513,animado,emocionante,Portuguese,RJ
devices,facilities,person_513,dispositivos,instalações,Portuguese,RN
audience,public,person_260,audiência,público,Portuguese,RN
lover,love,person_260,amante,amor,Portuguese,RN
break,brake,person_260,quebrar,frear,Portuguese,RV
did,was,person_1731,fez,foi,Portuguese,RV
got,had,person_1731,tem,tinha,Portuguese,RV
advertised,written,person_1731,anunciado,escrito,Portuguese,RV
tell,say,person_1731,dizer,dizer,Portuguese,RV
advancing,increasing,person_1731,avançando,aumentar,Portuguese,RV
is,was,person_1731,é,foi,Portuguese,RV
get,have,person_1731,obter,ter,Portuguese,RV
gave,made,person_662,deu,feito,Portuguese,RV
pipe,tube,person_662,tubulação,tubo,Portuguese,RN
never,ever,person_662,nunca,alguma vez,Portuguese,RY
problems,troubles,person_662,problemas,problemas,Portuguese,RN
pay,cash,person_662,pagar,descontar,Portuguese,RV
obvious,evident,person_662,óbvio,evidente,Portuguese,RJ
opportunity,possibility,person_662,oportunidade,possibilidade,Portuguese,RN
has,is,person_662,tem,é,Portuguese,RV
created,granted,person_662,criado,concedido,Portuguese,RV
conveniences,facilities,person_662,conveniências,instalações,Portuguese,RN
fun,funny,person_2670,divertida,engraçado,Portuguese,RJ
wear,use,person_2670,vestir,usar,Portuguese,RV
wear,use,person_2670,vestir,usar,Portuguese,RV
fun,funny,person_2670,divertida,engraçado,Portuguese,RJ
wear,use,person_2670,vestir,usar,Portuguese,RV
wear,use,person_2670,vestir,usar,Portuguese,RV
full-price,full,person_940,,cheio,Portuguese,RJ
decided,diced,person_940,decidiu,picado,Portuguese,RV
performed,presented,person_2459,executada,apresentado,Portuguese,RV
provide,make,person_2459,fornecer,fazer,Portuguese,RV
things,aspects,person_2459,coisas,aspectos,Portuguese,RN
potential,facility,person_2459,potencial,facilidade,Portuguese,RN
created,caused,person_2459,criado,causado,Portuguese,RV
things,aspects,person_2459,coisas,aspectos,Portuguese,RN
mess,mass,person_830,bagunça,massa,Portuguese,RN
were,seems,person_830,foram,parece,Portuguese,RV
disappointed,disappointing,person_830,desapontado,decepcionante,Portuguese,RJ
show,section,person_830,visualizar,seção,Portuguese,RN
can,had,person_830,pode,tinha,Portuguese,RV
develops,goes,person_830,desenvolve,vai,Portuguese,RV
needs,necessities,person_830,necessidades,necessidades,Portuguese,RN
intended,meant,person_788,pretendido,significava,Portuguese,RV
talked,spoke,person_788,conversamos,falou,Portuguese,RV
musical,play,person_213,musical,jogo,Portuguese,RN
give,have,person_213,dar,ter,Portuguese,RV
inventions,discoveries,person_213,invenções,descobertas,Portuguese,RN
opportunity,possibility,person_213,oportunidade,possibilidade,Portuguese,RN
MADE,BEEN,person_2306,feito,sido,Portuguese,RV
MEANS,WAYS,person_2306,meios,maneiras,Portuguese,RN
OPPORTUNITIES,FACILITIES,person_2306,oportunidades,instalações,Portuguese,RN
ABILITY,CONDITIONS,person_2306,capacidade,condições,Portuguese,RN
SHOULD,CAN,person_2306,deve,pode,Portuguese,RV
acting,starring,person_2311,agindo,estrelando,Portuguese,RV
had,passed,person_2311,tinha,passado,Portuguese,RV
cooked,did,person_2311,cozido,fez,Portuguese,RV
was,got,person_365,foi,tem,Portuguese,RV
contrary,differently,person_365,contrário,diferente,Portuguese,RY
stuck,stamped,person_365,preso,carimbado,Portuguese,RV
do,enjoy,person_1006,fazer,desfrutar,Portuguese,RV
make,do,person_1006,fazer,fazer,Portuguese,RV
put,get,person_1006,colocar,obter,Portuguese,RV
wide,big,person_1006,ampla,grande,Portuguese,RJ
dry,dried,person_1006,seco,secado,Portuguese,RJ
areas,part,person_183,áreas,parte,Portuguese,RN
used,use,person_2483,usado,usar,Portuguese,RV
surfing,surf,person_2483,surf,surf,Portuguese,RN
shopping,buy,person_2483,comprando,comprar,Portuguese,RV
compulsive,compulsory,person_2483,compulsivo,obrigatório,Portuguese,RJ
shopper,buyer,person_2483,comprador,comprador,Portuguese,RN
stamina,resistance,person_2657,resistência,resistência,Portuguese,RN
question,subject,person_2657,pergunta,assunto,Portuguese,RN
waste,kill,person_2657,desperdiçar,matar,Portuguese,RV
especially,specially,person_2657,especialmente,especialmente,Portuguese,RY
exams,tests,person_2655,exames,testes,Portuguese,RN
broke,broken,person_755,falido,quebrado,Portuguese,RJ
should,could,person_755,deve,poderia,Portuguese,RV
occasion,date,person_755,ocasião,data,Portuguese,RN
get,be,person_755,obter,ser,Portuguese,RV
trip,travel,person_2318,viagem,viagem,Portuguese,RN
away,out,person_2318,afastado,fora,Portuguese,RY
should,will,person_2318,deve,vai,Portuguese,RV
reply,answer,person_2318,responder,responder,Portuguese,RV
time,date,person_2442,tempo,data,Portuguese,RN
improve,increase,person_2442,melhorar,aumentar,Portuguese,RV
really,too,person_2442,realmente,também,Portuguese,RY
don't,aren't,person_2442,não,não,Portuguese,RV
met,known,person_2442,conheci,conhecido,Portuguese,RV
stressful,stressed,person_2442,estressante,estressado,Portuguese,RJ
Especially,Specially,person_2237,especialmente,especialmente,Portuguese,RY
assistants,sellers,person_2237,assistentes,vendedores,Portuguese,RN
off,of,person_2220,fora,de,Portuguese,RY
came,went,person_2220,veio,fui,Portuguese,RV
endure,bear,person_2594,suportar,suportar,Portuguese,RV
art,artist,person_1329,arte,artista,Portuguese,RN
done,made,person_1329,feito,feito,Portuguese,RV
fun,enjoyable,person_1329,divertida,agradável,Portuguese,RJ
reluctant,unhappy,person_1329,relutante,infeliz,Portuguese,RJ
shop,buy,person_1329,comprar,comprar,Portuguese,RV
have,get,person_2555,ter,obter,Portuguese,RV
especially,specially,person_2555,especialmente,especialmente,Portuguese,RY
pleased,pleasant,person_2555,satisfeito,agradável,Portuguese,RJ
do,practice,person_2555,fazer,praticar,Portuguese,RV
annoying,boring,person_2555,irritante,chato,Portuguese,RJ
annoying,boring,person_2555,irritante,chato,Portuguese,RJ
shop,buy,person_1896,comprar,comprar,Portuguese,RV
have,do,person_1896,ter,fazer,Portuguese,RV
habits,customs,person_1896,hábitos,aduaneira,Portuguese,RN
period,time,person_1508,período,tempo,Portuguese,RN
take,go,person_1508,levar,ir,Portuguese,RV
take,go,person_1508,levar,ir,Portuguese,RV
development,growing,person_1508,desenvolvimento,crescente,Portuguese,RN
been,gone,person_2016,sido,ido,Portuguese,RV
explain,tell,person_2016,explicar,dizer,Portuguese,RV
close,straight,person_50,perto,reta,Portuguese,RJ
have,take,person_50,ter,levar,Portuguese,RV
work,job,person_50,trabalho,emprego,Portuguese,RN
demands,charges,person_1453,exige,cobra,Portuguese,RV
information,answers,person_932,informações,respostas,Portuguese,RN
woke,work,person_932,acordou,trabalhar,Portuguese,RV
wear,use,person_932,vestir,usar,Portuguese,RV
went,came,person_932,fui,veio,Portuguese,RV
go,get,person_932,ir,obter,Portuguese,RV
spend,stay,person_2629,gastar,ficar,Portuguese,RV
paycheque,pay,person_2629,,pagamento,Portuguese,RN
exams,tests,person_105,exames,testes,Portuguese,RN
take,do,person_105,levar,fazer,Portuguese,RV
exams,tests,person_105,exames,testes,Portuguese,RN
be,stay,person_105,ser,ficar,Portuguese,RV
boring,bored,person_105,chato,entediada,Portuguese,RJ
lessons,classes,person_2574,lições,classes,Portuguese,RN
chance,possibility,person_2574,chance,possibilidade,Portuguese,RN
irritable,nervous,person_2574,irritável,nervoso,Portuguese,RJ
phenomenon,fact,person_2574,fenômeno,fato,Portuguese,RN
do,can,person_2574,fazer,pode,Portuguese,RV
camp,campsite,person_1492,acampamento,campismo,Portuguese,RN
listen,hear,person_1492,escute,ouvir,Portuguese,RV
times,moments,person_1492,vezes,momentos,Portuguese,RN
have,take,person_765,ter,levar,Portuguese,RV
play,practice,person_765,jogar,praticar,Portuguese,RV
beforehand,before,person_765,antemão,antes,Portuguese,RY
go,make,person_765,ir,fazer,Portuguese,RV
movies,cinema,person_765,filmes,cinema,Portuguese,RN
live,alive,person_765,ao vivo,vivo,Portuguese,RJ
staying,being,person_1218,ficar,sendo,Portuguese,RV
like,will,person_1218,gosto,vai,Portuguese,RV
sincerely,truthfully,person_1218,sinceramente,sinceramente,Portuguese,RY
afterwards,after,person_1218,depois,após,Portuguese,RY
close,near,person_2688,perto,perto,Portuguese,RJ
did,made,person_2688,fez,feito,Portuguese,RV
reply,replay,person_1021,responder,repetir,Portuguese,RV
reply,replay,person_1021,resposta,replay,Portuguese,RN
provide,answer,person_1784,fornecer,responder,Portuguese,RV
organising,doing,person_1784,organizar,fazendo,Portuguese,RV
hope,wish,person_1784,espero,desejo,Portuguese,RV
worries,doubts,person_1784,preocupações,dúvidas,Portuguese,RN
equipment,material,person_1784,equipamento,material,Portuguese,RN
trip,travel,person_1784,viagem,viagem,Portuguese,RN
special,especial,person_1784,especial,especiais,Portuguese,RJ
got,entered,person_1784,tem,entrou,Portuguese,RV
wearing,using,person_1784,vestindo,usando,Portuguese,RV
very,so,person_1784,muito,então,Portuguese,RY
thought,fought,person_1784,pensei,lutaram,Portuguese,RV
equipment,materials,person_1784,equipamento,materiais,Portuguese,RN
coming,entering,person_1784,vindo,entrar,Portuguese,RV
got,had,person_1784,tem,tinha,Portuguese,RV
hope,wish,person_1784,espero,desejo,Portuguese,RV
letter,litter,person_2070,carta,maca,Portuguese,RN
taken,chose,person_2070,tomadas,escolheu,Portuguese,RV
work,job,person_2070,trabalho,emprego,Portuguese,RN
get,collect,person_1547,obter,coletar,Portuguese,RV
experiences,situations,person_1547,experiências,situações,Portuguese,RN
risk,stake,person_1547,risco,estaca,Portuguese,RN
live,leave,person_912,viver,deixar,Portuguese,RV
away,of,person_912,afastado,de,Portuguese,RY
make,do,person_912,fazer,fazer,Portuguese,RV
places,points,person_2599,lugares,pontos,Portuguese,RN
going,doing,person_2599,indo,fazendo,Portuguese,RV
shopping,shop,person_2599,compras,loja,Portuguese,RN
tense,nervous,person_2599,tenso,nervoso,Portuguese,RJ
suggest,propose,person_943,sugerir,propor,Portuguese,RV
Especially,Specially,person_943,especialmente,especialmente,Portuguese,RY
Happy,Great,person_943,feliz,grande,Portuguese,RJ
is,seems,person_1018,é,parece,Portuguese,RV
shopping,shops,person_1018,compras,lojas,Portuguese,RN
sincerely,faithfully,person_1018,sinceramente,fielmente,Portuguese,RY
photographers,photographs,person_1018,fotógrafos,fotografias,Portuguese,RN
event,happening,person_2263,evento,acontecendo,Portuguese,RN
exhibitions,expositions,person_2263,exposições,exposições,Portuguese,RN
exhibitions,expositions,person_2263,exposições,exposições,Portuguese,RN
sincerely,faithfully,person_2263,sinceramente,fielmente,Portuguese,RY
means,ways,person_2263,meios,maneiras,Portuguese,RN
encroach,get,person_2263,invadir,obter,Portuguese,RV
family,familiar,person_2263,família,conhece,Portuguese,RJ
ordinary,common,person_2263,ordinário,comum,Portuguese,RJ
come,go,person_2951,vir,ir,Portuguese,RV
people,humans,person_2951,,,Portuguese,RN
go,come,person_2951,,,Portuguese,RV
inventors,creators,person_2951,,,Portuguese,RN
would,must,person_778,skulle,måste,Swedish,RV
was,become,person_778,var,bli,Swedish,RV
would,should,person_778,skulle,bör,Swedish,RV
leak,leakage,person_778,läcka,läckage,Swedish,RN
realise,fulfill,person_778,inse,uppfylla,Swedish,RV
advertised,told,person_2493,annonseras,berättade,Swedish,RV
join,make,person_2493,ansluta sig till,göra,Swedish,RV
trait,feature,person_2493,drag,funktionen,Swedish,RN
things,points,person_1189,saker,poäng,Swedish,RN
However,Although,person_1189,emellertid,fastän,Swedish,RY
greater,bigger,person_1189,större,större,Swedish,RJ
refurbishment,rebuilding,person_2683,renovering,återuppbyggnaden,Swedish,RN
advantage,benefit,person_2608,fördel,fördel,Swedish,RN
looking,aiming,person_2608,letar,sikte,Swedish,RV
various,different,person_2608,olika,olika,Swedish,RJ
provide,do,person_1103,tillhandahålla,göra,Swedish,RV
mess,stress,person_1859,förstöra,betona,Swedish,RV
repairs,reparations,person_2229,reparationer,skadestånd,Swedish,RN
swapping,talking,person_2229,bytande,talar,Swedish,RV
make,get,person_2229,göra,få,Swedish,RV
find,get,person_2201,hitta,få,Swedish,RV
see,watch,person_2201,se,klocka,Swedish,RV
evening,night,person_2201,kväll,natt,Swedish,RN
promised,told,person_2201,lovade,berättade,Swedish,RV
actors,persons,person_2201,aktörer,personer,Swedish,RN
meal,supper,person_2201,måltid,kvällsmat,Swedish,RN
promised,said,person_2201,lovade,sade,Swedish,RV
carry,wear,person_2201,bära,bära,Swedish,RV
tangible,technical,person_2201,påtagliga,tekniska,Swedish,RJ
watched,saw,person_843,såg,såg,Swedish,RV
create,cause,person_843,skapa,orsaka,Swedish,RV
Formal,Strict,person_843,formella,strikt,Swedish,RJ
open,available,person_410,öppen,tillgängliga,Swedish,RJ
various,different,person_773,olika,olika,Swedish,RJ
there,here,person_773,dit,här,Swedish,RY
new,different,person_773,nya,olika,Swedish,RJ
invented,discovered,person_773,uppfann,upptäckte,Swedish,RV
invention,discovery,person_773,uppfinning,upptäckten,Swedish,RN
would,should,person_370,skulle,bör,Swedish,RV
chef,chief,person_370,kock,chefen,Swedish,RN
could,should,person_370,kunde,bör,Swedish,RV
were,got,person_1382,var,fick,Swedish,RV
dinner,diner,person_1382,middag,diner,Swedish,RN
said,pronounced,person_1382,sade,uttalas,Swedish,RV
said,told,person_1745,sade,berättade,Swedish,RV
nationality,country,person_1745,,,Swedish,RN
live,leave,person_1745,,,Swedish,RV
said,told,person_816,είπε,είπε,Greek,RV
ruined,destroyed,person_816,ερειπωμένο,καταστραφεί,Greek,RV
stars,starts,person_2679,αστέρια,ξεκινά,Greek,RV
starred,started,person_2679,πρωταγωνίστησε,ξεκίνησε,Greek,RV
says,writes,person_2679,λέει,γράφει,Greek,RV
feel,get,person_2679,αισθάνονται,πάρετε,Greek,RV
say,refer,person_2679,πω,αναφέρονται,Greek,RV
said,written,person_2679,είπε,γραπτή,Greek,RV
was,had,person_2679,ήταν,είχε,Greek,RV
didn't,hadn't,person_2679,didnt,hadnt,Greek,RV
make,become,person_2679,κάνουν,γίνει,Greek,RV
go,get,person_2679,πάει,πάρετε,Greek,RV
occupy,spend,person_2679,καταλαμβάνουν,περάσετε,Greek,RV
go,got,person_2679,πάει,πήρε,Greek,RV
battery,pile,person_2679,μπαταρία,σωρό,Greek,RN
affected,effected,person_2679,επηρεάζονται,πραγματοποιούνται,Greek,RV
did,were,person_828,έκανε,ήταν,Greek,RV
give,return,person_828,δώσει,επιστρέψει,Greek,RV
embarrassed,shame,person_828,δύσκολη θέση,ντροπή,Greek,RJ
had,was,person_828,είχε,ήταν,Greek,RV
chef,cooker,person_1159,σεφ,ηλεκτρική κουζίνα,Greek,RN
disappointing,disappointed,person_1159,απογοητευτική,απογοητευμένος,Greek,RJ
sincerely,faithfully,person_1159,ειλικρινά,πιστά,Greek,RY
development,improve,person_1159,ανάπτυξη,βελτιώσει,Greek,RN
closed,close,person_1159,κλειστού,στενή,Greek,RJ
ought,have,person_1159,θα έπρεπε,έχουν,Greek,RV
cause,reason,person_1159,αιτία,λόγο,Greek,RN
perform,does,person_1837,εκτελέσετε,κάνει,Greek,RV
conclusion,addition,person_1837,συμπέρασμα,επιπλέον,Greek,RN
creating,crating,person_1837,δημιουργία,crating,Greek,RV
should,must,person_1822,πρέπει,πρέπει,Greek,RV
were,would,person_1822,ήταν,θα,Greek,RV
did,had,person_1822,έκανε,είχε,Greek,RV
would,could,person_1822,θα,θα μπορούσε,Greek,RV
reply,answer,person_1822,απάντηση,απάντηση,Greek,RN
next,other,person_1822,επόμενη,άλλα,Greek,RJ
up,next,person_1822,επάνω,κουμπίεπόμενο,Greek,RY
upset,mad,person_1822,αναστατωμένος,τρελών,Greek,RJ
went,came,person_1662,πήγε,ήρθε,Greek,RV
go,come,person_1662,πάει,έρχονται,Greek,RV
