case_id,i_nn_1,i_nn_2,i_nn_3,i_nn_4,i_nn_5,i_nn_6,i_nn_7,i_nn_8,i_nn_9,i_nn_10,c_nn_1,c_nn_2,c_nn_3,c_nn_4,c_nn_5,c_nn_6,c_nn_7,c_nn_8,c_nn_9,c_nn_10,l1_i_nn_1,l1_i_nn_2,l1_i_nn_3,l1_i_nn_4,l1_i_nn_5,l1_i_nn_6,l1_i_nn_7,l1_i_nn_8,l1_i_nn_9,l1_i_nn_10,l1_c_nn_1,l1_c_nn_2,l1_c_nn_3,l1_c_nn_4,l1_c_nn_5,l1_c_nn_6,l1_c_nn_7,l1_c_nn_8,l1_c_nn_9,l1_c_nn_10
case_3646,speaks,spoke,speaking,Speak,speek,spoken,fluently,hear,converse,communicate,Talk,talk.,TALK,discuss,talk.I,.talk,talking,talk.We,prattle,-talk,Говорить,рассуждать,думать,говрить,рассказывать,сказать,гворить,говорить.А,заявлять,разговаривать,Говорить,рассуждать,думать,говрить,рассказывать,сказать,гворить,говорить.А,заявлять,разговаривать
case_3645,line,lines.The,lines.,lines-,lines.It,lines.I,lines.Now,lines.And,lines.There,lines.In,queue,queuing,queueing,Queues,queing,queued,queue.The,Queuing,queuers,Queue,линиии,лини,линией,линии.,Линии,линий,линию,линии-,линии.В,линия,очереди.,очереди.В,очереди-,очереде,Очереди,очередей,очередях,очередью,очередности,поочереди
case_3644,live-,llive,live.I,Live,live.,live.The,live.This,living,live.And,live.They,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,Жить,жить.А,жить.И,жить-,жить.Но,проживать,жить.,прожить,пожить,поживать,оставаться,остатся,останется,Остаться,оставшись,сохраниться,остался,оказаться,оставить,остаться.
case_3643,attending,attended,attend.If,attends,Attend,attend.I,attend.This,participate,attend.The,attend.We,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,Посещать,навещать,посетить,посещаться,посещая,посещают,покидать,приезжать,посещаю,наведываться,идти,Пойти,сходить,отправиться,поехать,побежать,уйти,пойти.,пойдя,прийти
case_3642,rememberances,recollections,reminiscences,remembrance,memories,Remembrances,rememberings,rememberance,mementos,eulogies,souveniers,souvenir,souveneirs,souviners,mementos,souvenier,souvenirs.,mementoes,souveneir,Souvenirs,Воспоминания,воспоминаний,воспоминания.,воспоминание,воспоминая,вспоминания,воспоминаниями,впечатления,воспоминаниях,воспоминании,сувениры.,сувенирчики,подарки,сувенирные,бизнес-сувениры,Сувениры,презенты,VIP-сувениры,сувенир,сувениров
case_3650,peformances,perfomances,performances.The,perfromances,performaces,preformances,performance,Performances,performers,performances.In,event,events.The,happenings,events.This,events.In,events.,events-,events.For,Events,events.These,моноспектакли,Спектакли,концерты,спектаклей,мюзиклы,мини-спектакли,спектакль,балеты,гала-концерты,театры,события.,события.В,события-,событий,События,свершившиеся,происходящие,произошедшие,обстоятельства,происшедшие
case_3534,give,Gave,giving,took,gaves,given,came,gaved,showed,got,putting,puts,bring,Put,Putting,puting,hold,pull,take,brought,давал,дала,дали,давший,дав,предоставил,дать,даст,Дал,дало,Положить,поместить,закинуть,класть,ложить,подложить,уложить,сунуть,засунуть,положили
case_3661,live-,llive,live.I,Live,live.,live.The,live.This,living,live.And,live.They,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,Жить,жить.А,жить.И,жить-,жить.Но,проживать,жить.,прожить,пожить,поживать,оставаться,остатся,останется,Остаться,оставшись,сохраниться,остался,оказаться,оставить,остаться.
case_3532,is,will,not,should,able,thbe,so,may,can,might,had,been,'ve,already,ahve,haved,haven,can,never,hve,может,должно,бытьне,оказаться,будет,быть-,стать,бьггь,можетбыть,должны,иметь.,Иметь,имеет,имееть,имеют,имели,имел,имет,имея,-иметь
case_3423,waists,waist.I,waist.,waistline,waist.The,mid-waist,hips,Waist,waist-band,waistband,wastes,wasted,waste.It,waste.The,Waste,waste.But,waste.,wasting,waster,waste.This,талии.,бедер,талии-,бедрах,талия,талию,бёдер,талией,груди,груди-,отходов.,промотходов,ТБО,биоотходов,металлоотходов,отходы,нефтеотходов,мусора,медотходов,Отходов
case_3422,make,making,made.So,mades,made.When,made.I,made.It,made.The,made.But,made.A,forcing,compelled,coerced,Forced,pressured,refused,unwilling,forcibly,foced,FORCED,делал,Сделал,зделал,сделал-,cделал,сделали,сделала,сделавший,сделал.,создал,Принудительный,добровольный,добровольно-принудительный,насильный,насильственный,повальный,поголовный,повсеместный,самовольный,вынужденный
case_3421,couldn't,wouldn't,don't,can't,I'd,wasn't,shouldn't,didn’t,doesn't,won't,didn't,couldn't,wouldn't,isn't,hasn't,wasn’t,shouldn't,that's,doesn't,it's,Не,но,же.Не,нe,Hе,.не,.Не,",не",уж,не.,Не,но,же.Не,нe,Hе,.не,.Не,",не",уж,не.
case_3420,presenation,presention,presentations,presentation.The,presentation.This,presentaion,presentation.It,presentation.I,Presentation,presentation.In,shows,show.So,show.The,show.But,show.Also,show.This,show.If,show.And,show.It,show.Now,презентации.,видео-презентации,видеопрезентации,презентацией,бизнес-презентации,презентаций,презентация,Презентации,онлайн-презентации,слайд-презентации,-шоу,мини-шоу,реалити-шоу,теле-шоу,караоке-шоу,телешоу,шоу.В,фрик-шоу,шоу-,шоу.
case_3419,dissappointing,underwhelming,dissapointing,disapointing,Disappointing,disppointing,disappointed,lackluster,lacklustre,disappointingly,dissappointed,dissapointed,disapointed,disppointed,underwhelmed,disapppointed,Disappointed,surprised,disheartened,diappointed,огорчение,Разочарование,разочарование.,разочерование,разочарования,разочарованность,отчаяние,неудовлетворение,непонимание,злорадство,расстроен,огорчен,обескуражен,шокирован,разочарована,удивлен,разочаровался,раздосадован,опечален,воодушевлен
case_3418,Do,go,'t,want,don,know,so,if,I,think,making,makes,Make,made,amke,want,sure,create,Making,easier,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали
case_3417,holidays,holdiay,holday,holiday.This,holiday.But,holiday.It,hoilday,holidy,Holiday,holiday.And,parties,partys,party-,party.The,Party,party.But,party.If,pary,party.,party.Now,праздник-,Праздник,празник,праздник.,праздник-то,праздничный,праздника,праздничек,праздник.В,карнавал,Вечеринка,вечерина,тусовка,гулянка,дискотека,вечеринку,свадьба,оргия,вечеринкаВечеринка,попойка
case_3416,once,agian,again.And,again.So,again-,again.Now,again--and,then,again.But,again.I,alos,aslo,additionally,likewise,may,which,have,always,certainly,has,вновь,опять,Снова,сново,Вновь,наконец-то,наконец,повторно,иснова,cнова,так-же,такж,частности,Также,дополнительно,как,только,так,впрочем,однако
case_3415,point.The,point.This,point--the,point.At,point.I,point.But,point.So,point.That,point.Now,point.When,thing.Another,thing.One,thing.What,thing.This,thing.But,thing-,thing.Now,thing.And,thing.The,things,зрения,точке,точек,точкой,точка,сточки,точкизрения,точку,точк,тοчки,вешь,вещь.,вещь-то,вещь-,вещица,весчь,Вещь,вещичка,штука,весч
case_3414,had,been,'ve,already,ahve,haved,haven,can,never,hve,getting,got,want,gets,gotten,need,give,can,try,take,иметь.,Иметь,имеет,имееть,имеют,имели,имел,имет,имея,-иметь,получать,получть,дать,заполучить,Получить,-получить,приобрести,получив,дополучить,обрести
case_3413,incredible,awesome,fantastic,AMAZING,wonderful,amzing,INCREDIBLE,unbelievable,phenomenal,fabulous,hilarious,funny,comical,humourous,humorous,amusingly,interesting,amusing.I,amusing.The,chuckle-worthy,необыкновенные,невероятные,поразительные,удивительнейшие,необычные,чудесные,Удивительные,изумительные,восхитительные,уникальные,занятно,смешно,прикольно,презабавно,Забавно,любопытно,комично,ржачно,потешно,интересно
case_3412,gotten,get,getting,had,went,gotton,came,gottten,picked,figured,came,proceeded,ran,drove,walked,took,Went,started,got,turned,получивший,Получил,получал,получила,получив,приобрел,получили,заполучил,получил-таки,обрел,пошёл,побежал,шел,Пошел,поехал,пошли,потащился,отправился,пошол,двинулся
case_3411,realtions,relations.The,relations.,Relations,relations.In,relationships,relations-,relationship,relations.I,relationsThe,communications,communicaiton,communcation,communciation,commuication,communiction,communicaton,communication-,communicating,Communication,взаимоотношения,отнощения,отношения.,отношеня,отношения-,отношения.А,Отношения,отнашения,взаимотношения,отношения.В,комуникации,коммуникации.,коммуникаций,коммуникации-,бизнес-коммуникации,интернет-коммуникации,коммуникацию,коммуникацией,коммуникация,коммуникаци
case_3410,far-away,far-off,faraway,far-distant,more-distant,far-flung,not-too,not-so-far,remoter,distantly,Remote,non-remote,remot,remote-,remoter,semi-remote,remoted,remotes,remote.The,remote.,далёкой,отдаленной,недалекой,Далекой,далекой-далекой,отдалённой,далеких,сказочной,неведомой,неприветливой,удалённого,Удаленного,локального,удаленной,дистанционного,полнофункционального,удаленным,удаленных,удаленный,удаленное
case_3409,delivering,delivers,delivered,Deliver,Delivering,deliever,re-deliver,deliveres,provide,delivere,taking,takes,took,Take,taken,Taking,give,get,tkae,put,доставлять,привезти,доставит,доставив,отвезти,доставят,довезти,доставил,Доставлять,Привезти,принимать,Принять,приняв,принял,отвергнуть,приять,одобрить,приняла,приняли,воспринять
case_3408,unlawful,illigal,Illegal,ilegal,illeagal,ILLEGAL,illegally,illlegal,illegal.But,illegal-,illegitmate,illegimate,illigitimate,illegitimately,Illegitimate,illegit,illegitimates,legitimated,illegitimacy,legitimate,противозаконной,нелегальной,законной,Незаконной,несанкционированной,самовольной,противоправной,фиктивной,мошеннической,легальной,легитимными,нелигитимными,недемократичными,антиконституционными,незаконными,законными,нелегитимным,неконституционными,сфальсифицированными,недемократическими
case_3407,include,Included,includes,inlcuded,incuded,provided,inclued,including,inluded,includee,enclosing,Enclosed,enclose,non-enclosed,unenclosed,inclosed,encloses,semi-enclosed,enclosure,fenced,входят,включен,включаются,вошли,включена,входили,включались,войдут,включенные,включено,открытых,полузакрытых,отрытых,Закрытых,полуоткрытых,закрываемых,незакрытых,крытых,приоткрытых,замкнутых
case_3424,know,guess,suppose,believe,don,say,thnk,honestly,really,Maybe,envision,fathom,imagining,wonder,Imagine,think,imagine.So,imagine.And,imagine.I,could,Думаю,полагаю,думаю.,сомневаюсь,предполагаю,надеюсь,наверное,понимаю,знаю,подозреваю,Представить,вообразить,представляю,предстваить,описать,представлять,представлю,увидеть,предствить,представив
case_3425,cannot,could,will,may,might,easily,able,want,need,should,may,would,could,should,probably,conceivably,possibly,likely,seem,can,быть,сможет,будет,могло,должен,должно,мог,неможет,можетбыть,можеть,быть,сможет,будет,могло,должен,должно,мог,неможет,можетбыть,можеть
case_3426,availble,availabe,availalbe,avaiable,avaialable,avaialble,avaliable,availalble,vailable,avilable,vaild,non-valid,Valid,invalid,VALID,valid.,valid.If,valid.The,valid-,valid.I,недоступны,легкодоступны,предоставляются,предоставлены,общедоступны,Доступны,доступна,доступны.,ступны,доступен,Действительны,недействительны,действительна,окончательны,действителен,актуальны,аннулированы,доступны,реальны,приемлемы
case_3427,postponing,post-pone,postponement,postponed,reschedule,postpones,delaying,Postpone,re-schedule,Postponing,delays,postponed,delay,Delayed,delaying,rescheduled,delayed.,delayed.The,undelayed,re-scheduled,откладывать,отложив,отложили,отложите,отложит,отложил,откладывают,отложила,перенести,отсрочить,отсрочено,откладывалось,затянулось,отложен,отложена,отложены,перенесено,приостановлено,откладывается,заморожено
case_3445,Entering,exiting,re-entering,enter,reentering,entered,enterting,enetering,enters,re-enter,Operating,operationg,operate,pre-operating,operatin,operation,operational,opperating,theoperating,operations,ввод,Ввода,вывода,вводом,вводе,Ввод,вводу,ввода-,введения,вводов,Рабочая,.Рабочая,специальная,рабочая.,нерабочая,учебная,испытательная,правительственная,нормальная,лекторская
case_3444,playing,plays,played,play.So,game,play.I,play.This,play.,play.Now,play.It,Acting,acted,re-acting,non-acting,directing,ACTING,acting.,acting-,act,behaving,игры.А,игры.,игры.И,игры.Но,игры.В,игры-,игрыВ,игр,игры.4.,-игры,Действуя,действовал,действовали,действуем,воздействуя,действуете,взаимодействуя,действую,действовать,реализуя
case_3443,noticed,looked,came,watched,realized,showed,seen,wondered,knew,went,said.And,said.He,said.But,said.As,said.It,said.So,said.The,said.However,said.Now,said.That,видал,увидел,встречал,видела,видел.А,слышал,замечал,видели,невидел,Видел,заявил,пояснил,говорил,уточнил,ответил,отметил,возразил,сообщил,Сказал,подчеркнул
case_3442,arrangements,arrangment,arangement,arrangement.The,Arrangement,arragement,arrangement.,arrangemen,arrangements.The,arrangments,organisations,organsiation,organistion,organisation.The,organsation,organisational,organisation.,organistation,organization,organsiations,договорённости,Договоренности,договоренности.,Договорённости,договоренностью,договоренностей,договоренность,договорености,договоренной,соглашения,организациии,орагнизации,организа-ции,органи-зации,огранизации,орга-низации,поорганизации,деятельности,организацией,ор-ганизации
case_3441,necessarily,shouldn,should,cannot,only,NOT,wouldn,seem,don,but,wihout,wihtout,withou,Without,withouth,wtihout,wothout,witout,withoug,whithout,Не,но,же.Не,нe,Hе,.не,.Не,",не",уж,не.,Без,-без,.Без,БЕЗ,всякого,безо,ибез,каких-либо,ьез,обойтись
case_3440,commmon,not-so-common,commom,semi-common,commonest,uncommon,un-common,prevalent,most-common,commong,extra-ordinary,not-so-ordinary,run-of-the-mill,every-day,extraordinary,unordinary,mundane,Ordinary,ordinary-looking,ordinariness,специфические,основные,конкретные,индивидуальные,базовые,единые,отдельные,формальные,определенные,обшие,обыкновенные,стандартные,простые,заурядные,традиционные,Обычные,привычные,нормальные,классические,настоящие
case_3439,making,makes,Make,made,amke,want,sure,create,Making,easier,drawing,draws,drew,drawn,Draw,pre-draw,draw.,draw.I,draw.The,draw.In,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,Нарисовать,дорисовать,изобразить,рисовать,перерисовать,разрисовать,зарисовать,раскрасить,отрисовать,прорисовать
case_3438,commmon,not-so-common,commom,semi-common,commonest,uncommon,un-common,prevalent,most-common,commong,extra-ordinary,not-so-ordinary,run-of-the-mill,every-day,extraordinary,unordinary,mundane,Ordinary,ordinary-looking,ordinariness,специфические,основные,конкретные,индивидуальные,базовые,единые,отдельные,формальные,определенные,обшие,обыкновенные,стандартные,простые,заурядные,традиционные,Обычные,привычные,нормальные,классические,настоящие
case_3406,ususal,usual.The,not-so-usual,usual.As,usual.It,typical,usual.I,customary,usual.But,usual.A,nomal,normal-ish,unnormal,normal-,normalish,un-normal,not-normal,nornal,abnormal,semi-normal,правило,иногда,часто,нередко,Обычно,зачастую,чаще,обыкновенно,редко,частенько,полноценной,Нормальной,приличной,ненормальной,хорошей,правильной,стабильной,адекватной,идеальной,обычной
case_3437,playing,plays,played,play.So,game,play.I,play.This,play.,play.Now,play.It,acts,act.,act.It,act.This,act.And,act.The,act.So,acting,act.But,acted,сыграть,играться,играть.,играть-,поиграть,сиграть,играт,поигрывать,грать,играть.-,Действовать,действует,бездействовать,реализовываться,действовал,действовали,функционировать,дейстовать,действуют,работать
case_3435,chance,likelihood,Chances,liklihood,chances.,slim-to-none,likeliness,chances.But,chances.The,likelyhood,channel,channels.The,channels.,chanels,Channels,channels.It,channels-,channels.I,sub-channels,channels.In,Шансы,шансов,шанс,шансами,Шансов,вероятность,шансах,шанса,шансам,риски,Каналами,радиоканалами,каналом,трактами,телеканалами,системами,каналов,потоками,микроканалами,устройствами
case_3434,turns,turning,turned,Turn,trun,flip,.Turn,switch,toturn,tunr,changes,changing,chnage,changed,chage,Change,cahnge,change-,changee,change--and,Превратить,превращать,превратиться,превратив,перевоплотить,превратит,превращают,превращает,превратите,преобразовать,поменять,видоизменить,скорректировать,измениться,изменять,подкорректировать,изменив,откорректировать,сменить,переменить
case_3433,seats,seat.The,seat.It,seat.This,seat.I,seat.As,seat.If,seat.In,seat.A,seat.And,sitting,sat,Sit,relax,plop,sit.I,stand,sittting,hunker,idly,сидение,сиденьи,сиденья,кресло,сидении,седенье,сидения,сидень,креслице,сиденьем,сидет,Сидеть,сидеть.,просидеть,стоять,лежать,отсиживаться,посиживать,торчать,засиживаться
case_3432,Do,go,'t,want,don,know,so,if,I,think,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,идти,Пойти,сходить,отправиться,поехать,побежать,уйти,пойти.,пойдя,прийти
case_3431,think,tell,don,say,want,understand,you,guess,knwo,what,teach,Learn,learned,re-learn,learm,learn.If,discover,relearn,leanr,learn.We,понимаю,догадываюсь,незнаю,Знаю,думаю,помню,знаю.Но,могу,знаю.,знаю.А,выяснить,разузнать,расспросить,узнать.,узнать-,рассказать,уточнить,посмотреть,Разузнать,узнавать
case_3430,convienient,convienent,Convenient,easy,convient,convinient,covenient,super-convenient,conveniently,ultra-convenient,helful,helpfu,helfpul,helpful-,helpul,heplful,lpful,hepful,helpf,helpfull,Удобно,неудобно,удобнее,удобно-,комфортно,практично,удобно.,удобней,удобно.А,удобненько,нужная,полезнейшая,ценная,интересная,бесполезная,полезная.,Полезная,важная,пользительная,вредная
case_3429,making,makes,Make,made,amke,want,sure,create,Making,easier,Do,go,'t,want,don,know,so,if,I,think,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали
case_3428,gotten,get,getting,had,went,gotton,came,gottten,picked,figured,had,been,'ve,already,ahve,haved,haven,can,never,hve,получивший,Получил,получал,получила,получив,приобрел,получили,заполучил,получил-таки,обрел,иметь.,Иметь,имеет,имееть,имеют,имели,имел,имет,имея,-иметь
case_3436,stopping,Stop,stops,stopped,stop.,stop.So,stop-,stop.I,STOP,stop.If,preventing,prevents,forestall,avoid,prevented,minimize,deter,mitigate,protect,prvent,Остановить,останавливать,приостановить,замедлить,остановит,задержать,затормозить,притормозить,прекратить,прервать,предотвращать,Предотвратить,предотвратит,избежать,допустить,спровоцировать,недопустить,пресечь,минимизировать,предотвратив
case_3446,programs,progam,program.This,program.The,Program,progra,program.It,program.As,program.But,program.When,shows,show.So,show.The,show.But,show.Also,show.This,show.If,show.And,show.It,show.Now,Программа,прграмма,-программа,программма,спецпрограмма,програма,прогамма,программка,программа-,программа.,-шоу,мини-шоу,реалити-шоу,теле-шоу,караоке-шоу,телешоу,шоу.В,фрик-шоу,шоу-,шоу.
case_3405,terrific,amazing,superb,wonderful,fabulous,great,awesome,fantasic,incredible,excellent,fanciful,phantasmagorical,fantasical,fantasy-like,phantasmagoric,fantasy-filled,other-worldy,surrealistic,whimsical,outlandish,фантастичный,невероятный,Фантастический,удивительный,сказочный,восхитительный,нереальный,умопомрачительный,необыкновенный,фантасмагорический,фантастичных,невероятных,фантасмагорических,мистических,умопомрачительных,полуфантастических,причудливых,неправдоподобных,футуристических,научно-фантастических
case_3403,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,waiting,wait.So,waited,WAIT,wait.,wait.And,wait.But,wait.You,wait.I,paitently,оставаться,остатся,останется,Остаться,оставшись,сохраниться,остался,оказаться,оставить,остаться.,Подожди,обожди,Обожди,потерпи,дождись,успокойся,посиди,-Подожди,Потерпи,помолчи
case_3379,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,gotten,get,getting,had,went,gotton,came,gottten,picked,figured,идти,Пойти,сходить,отправиться,поехать,побежать,уйти,пойти.,пойдя,прийти,получивший,Получил,получал,получила,получив,приобрел,получили,заполучил,получил-таки,обрел
case_3378,make,Making,makes,made,creating,makign,makeing,makiing,makig,putting,hold,Holding,held,holds,holdng,clutching,putting,grabbing,carrying,handing,Делает,сделает,делая,делают,делающий,сделало,сделал,делало,делающая,Сделает,холдинга,Холдинг,концерн,агрохолдинг,медиа-холдинг,медиахолдинг,интернет-холдинг,госхолдинг,холдинге,субхолдинг
case_3377,seen.I,seen.As,witnessed,been,saw,seeen,seen.So,heard,noticed,seen.The,attending,attend,atteneded,attened,attented,attended.The,attended.I,Attended,participated,attends,видал,увидел,встречал,видела,видел.А,слышал,замечал,видели,невидел,Видел,присутсвовал,присутствовали,присутствовала,отсутствовал,Присутствовал,участвовал,присутствовавший,поприсутствовал,появлялся,присутствовать
case_3376,amounts,amout,ammount,amound,amoutn,amoun,anount,ammounts,amouts,amount.The,numbers,number.The,nunber,numnber,nubmer,numer,numbers.There,number.A,number.There,number.For,-сумма,Сумма,сумма.,величина,.Сумма,суммы,сумму,суммарная,перечисленная,цифра,номер-,номер.,-номер,номера,Номер,порядковый,номер.В,номером,номер2,нοмер
case_3375,done.So,done.But,done.Well,done.And,done.As,done.It,done-,doing,done.We,done.Now,make,making,made.So,mades,made.When,made.I,made.It,made.The,made.But,made.A,делалось,проделано,сделанно,выполнено,делается,делано,сделано.,Сделано,Задумано,сделанное,делал,Сделал,зделал,сделал-,cделал,сделали,сделала,сделавший,сделал.,создал
case_3374,guess,presume,think,Anyway,anyhow,dunno,anyway,daresay,Perhaps,supppose,know,guess,suppose,believe,don,say,thnk,honestly,really,Maybe,Предположим,допустим,Допустим,Представим,скажем,положим,представим,Положим,если,предположите,Думаю,полагаю,думаю.,сомневаюсь,предполагаю,надеюсь,наверное,понимаю,знаю,подозреваю
case_3373,might,can,will,should,could,must,likely,would,not,are,would,might,can,conceivably,possibly,coud,feasibly,couldn,wouldn,coudl,апреля,июня,марта,июля,сентября,февраля,октября,августа,ноября,декабря,смог,сумел,Мог,хотел,позволял,должен,намеревался,могла,пытался,могли
case_3372,making,makes,Make,made,amke,want,sure,create,Making,easier,creat,creating,Create,recreate,creates,generate,createa,re-create,created,build,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,создавать,сформировать,воссоздать,организовать,построить,разработать,соорудить,сконструировать,выстроить,создав
case_3371,faaaaaar,faaaar,faaaaar,farther,far.As,much,faaar,far.So,far.The,far.That,far-away,far-off,far-flung,distant,far-distant,farflung,faroff,not-so-far,far-far,out-of-the-way,Далеко,далековато,далекооо,далекоооо,-далеко,отнюдь,далеко-,дааалеко,далеко.,практически,далёкие,далекие-далекие,отдаленные,Далекие,дальние,недалекие,далеких,дремучие,неспокойные,давние
case_3370,had,been,'ve,already,ahve,haved,haven,can,never,hve,getting,got,want,gets,gotten,need,give,can,try,take,иметь.,Иметь,имеет,имееть,имеют,имели,имел,имет,имея,-иметь,получать,получть,дать,заполучить,Получить,-получить,приобрести,получив,дополучить,обрести
case_3369,job.That,job.Now,job-,job.This,job.But,jobs,job.The,job--,job.So,job--and,working,works,work.But,Work,work.The,job,worked,work.I,work.It,work.However,работу.А,работу.С,работу.И,работу-,работу.,работу.В,работу.Я,работу.Но,работу.На,работуВ,работыи,работы.Для,работы.,работы.И,работы.А,работы.Работа,работы.Но,работы.На,работе,работы6
case_3368,know,telling,telll,ask,let,say,tells,Tell,told,explain,Talk,talk.,TALK,discuss,talk.I,.talk,talking,talk.We,prattle,-talk,сказать-,сказть,скзать,сказать.Но,сказать.И,говорить,скажу,Сказать,сказать.А,сказать.,Говорить,рассуждать,думать,говрить,рассказывать,сказать,гворить,говорить.А,заявлять,разговаривать
case_3367,So,I,it,if,SO,we,too,soooo,sooooo,do,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,как,Так,иначе,конечно,потому,естественно,ведь,вот,точно,просто,ооочень,оооочень,чрезвычайно,довольно,ооооочень,оочень,крайне,весьма,очень-очень,оооооочень
case_3366,thought,wanted,realized,KNEW,wondered,figured,didn,doubted,felt,did,learnt,re-learned,relearned,learned.I,taught,learn,leared,re-learnt,leanred,re-taught,догадывался,понимал,помнил,подозревал,знает,узнал,думал,знала,Догадывался,Знал,узнала,разузнал,знал,вспомнил,узнавал,увидел,понял,выяснил,узнали,узнав
case_3365,tooooo,toooo,toooooo,tooooooo,Too,tooo,TOO,awfully,terribly,waaay,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,чересчур,Слишком,очень,чрезмерно,довольно,излишне,слишом,черезчур,слишко,довольно-таки,ооочень,оооочень,чрезвычайно,довольно,ооооочень,оочень,крайне,весьма,очень-очень,оооооочень
case_3364,commmon,not-so-common,commom,semi-common,commonest,uncommon,un-common,prevalent,most-common,commong,extra-ordinary,not-so-ordinary,run-of-the-mill,every-day,extraordinary,unordinary,mundane,Ordinary,ordinary-looking,ordinariness,специфические,основные,конкретные,индивидуальные,базовые,единые,отдельные,формальные,определенные,обшие,обыкновенные,стандартные,простые,заурядные,традиционные,Обычные,привычные,нормальные,классические,настоящие
case_3533,offer,provided,offering,proffered,availed,offered.The,offerd,offfered,offers,offered.I,invite,Invited,re-invited,un-invited,invitied,invitation,invites,encouraged,invitedto,attend,предлагал,Предложил,предложила,предложив,посоветовал,предложили,порекомендовал,предложивший,рекомендовал,решил,позвал,приглашал,пригласила,пригласили,Пригласил,пригласив,пригласивший,пригласить,Приглашал,позвали
case_3380,worng,wrong.But,WRONG,wrong.And,wrong-,wrong.Now,wronger,wrong.So,wrong.However,wrong.That,flase,False,fasle,false-,untrue,bogus,misleading,spurious,erroneous,FALSE,ошибочной,неправильной,некорректной,неточной,верной,ложной,неадекватной,глупой,искаженной,опрометчивой,неправдивых,ошибочных,лживых,обманчивых,неправильных,мнимых,истинных,неверных,иллюзорных,неточных
case_3381,would,might,can,conceivably,possibly,coud,feasibly,couldn,wouldn,coudl,decided,knew,wished,did,chose,didn,want,hoped,thought,liked,смог,сумел,Мог,хотел,позволял,должен,намеревался,могла,пытался,могли,захотел,желал,Хотел,хотела,хотелось,хочу,решил,собирался,предпочел,намеревался
case_3382,visted,visisted,visitied,visit,Visited,visiting,vistited,visited.The,vistied,visited.I,attending,attend,atteneded,attened,attented,attended.The,attended.I,Attended,participated,attends,посетил,посетят,посещали,побывали,посетила,посетило,навестили,посещают,Посетили,осмотрели,присутсвовал,присутствовали,присутствовала,отсутствовал,Присутствовал,участвовал,присутствовавший,поприсутствовал,появлялся,присутствовать
case_3383,actresses,actors-,Actors,actor,thespians,actors.,non-actors,non-actor,actors.The,voice-actors,casting,casted,cast.The,casts,cast-,cast.I,Cast,cast.,cast.In,uncast,актёры,Актеры,артисты,киноактеры,актеры.,режиссеры,киноактёры,режисеры,актеров,Актёры,цельнолитой,легкосплавный,штампованной,штампованный,кованый,Цельнолитой,сварной,Штампованный,стальной,хромированный
case_3402,making,makes,Make,made,amke,want,sure,create,Making,easier,had,been,'ve,already,ahve,haved,haven,can,never,hve,делать,слелать,Сделать,cделать,зделать,создать,сделть,сдалать,переделать,сделали,иметь.,Иметь,имеет,имееть,имеют,имели,имел,имет,имея,-иметь
case_3401,Then,THEN,eventually,once,when,THen,until,again,just,before,alos,aslo,additionally,likewise,may,which,have,always,certainly,has,потом,сначала,Затем,сперва,азатем,вначале,Потом,Сначала,затем-,Вначале,так-же,такж,частности,Также,дополнительно,как,только,так,впрочем,однако
case_3400,Then,THEN,eventually,once,when,THen,until,again,just,before,alos,aslo,additionally,likewise,may,which,have,always,certainly,has,потом,сначала,Затем,сперва,азатем,вначале,Потом,Сначала,затем-,Вначале,так-же,такж,частности,Также,дополнительно,как,только,так,впрочем,однако
case_3398,playing,plays,played,play.So,game,play.I,play.This,play.,play.Now,play.It,appears,appearing,reappear,appeared,seem,apear,re-appear,apppear,disappear,appear.The,сыграть,играться,играть.,играть-,поиграть,сиграть,играт,поигрывать,грать,играть.-,возникают,Появляются,появились,появляються,исчезают,появлялись,появляться,пропадают,образовываются,появляющиеся
